Year,Jurisdiction,Average,Standard Error
2009,Spain,481,(2.0)
2009,Sweden,497,(2.9)
2009,Switzerland,501,(2.4)
2009,Turkey,464,(3.5)
2009,United Kingdom,494,(2.3)
2009,United States,500,(3.7)
2009,Albania,385,(4.0)
2009,Albania (2015),—,†
2009,Algeria,—,†
2009,Argentina (2015),—,†
2009,Brazil,412,(2.7)
2009,B-S-J-G (China),—,†
2009,Bulgaria,429,(6.7)
2009,CABA (Argentina),—,†
2009,Colombia,413,(3.7)
2009,Costa Rica,—,†
2009,Croatia,476,(2.9)
2009,Cyprus,—,†
2009,Dominican Republic,—,†
2009,FYROM,—,†
2009,Georgia,—,†
2009,Hong Kong (China),533,(2.1)
2009,Indonesia,402,(3.7)
2009,Jordan,405,(3.3)
2009,Kazakhstan,390,(3.1)
2009,Kazakhstan (2015),—,†
2009,Kosovo,—,†
2009,Lebanon,—,†
2009,Lithuania,468,(2.4)
2009,Macao (China),487,(0.9)
2009,Malaysia,—,†
2009,Malaysia (2015),—,†
2009,Malta,—,†
2009,Moldova,—,†
2009,Montenegro,408,(1.7)
2009,Peru,370,(4.0)
2009,Qatar,372,(0.8)
2009,Romania,424,(4.1)
2009,Russia,459,(3.3)
2009,Singapore,526,(1.1)
2009,Chinese Taipei,495,(2.6)
2009,Thailand,421,(2.6)
2009,Trinidad and Tobago,416,(1.2)
2009,Tunisia,404,(2.9)
2009,United Arab Emirates,—,†
2009,Uruguay,426,(2.6)
2009,Viet Nam,—,†
2009,Belgium: Flemish Community,519,(2.3)
2009,Spain: Andalusia,461,(5.5)
2009,Spain: Aragon,495,(4.1)
2009,Spain: Asturias,490,(4.8)
2009,Spain: Balearic Islands,—,†
2009,Spain: Basque Country,494,(2.9)
2009,Spain: Canary Islands,—,†
2009,Spain: Cantabria,488,(4.1)
2009,Spain: Castile and Leon,503,(4.9)
2009,Spain: Castile-La Mancha,—,†
2009,Spain: Catalonia,498,(5.2)
2009,Spain: Comunidad Valenciana,—,†
2009,Spain: Extremadura,—,†
2009,Spain: Galicia,486,(4.4)
2009,Spain: La Rioja,498,(2.4)
2009,Spain: Madrid,—,†
2009,Spain: Murcia,—,†
2009,Spain: Navarre,497,(3.1)
2009,United Arab Emirates: Abu Dhabi,—,†
2009,United Arab Emirates: Dubai,459,(1.1)
2009,United Kingdom: Scotland,500,(3.2)
2009,United States: Massachusetts,—,†
2009,United States: North Carolina,—,†
2009,United States: Puerto Rico,—,†
2006,Selected countries and jurisdictions,470,(0.5)
2006,International Average (OECD),489,(0.6)
2006,Australia,513,(2.1)
2006,Austria,490,(4.1)
2006,Belgium,501,(3.0)
2006,Canada,527,(2.4)
2006,Chile,442,(5.0)
2006,Czech Republic,483,(4.2)
2006,Denmark,494,(3.2)
2006,Estonia,501,(2.9)
2006,Finland,547,(2.1)
2006,France,488,(4.1)
2006,Germany,495,(4.4)
2006,Greece,460,(4.0)
2006,Hungary,482,(3.3)
2006,Iceland,484,(1.9)
2006,Ireland,517,(3.5)
2006,Israel,439,(4.6)
2006,Italy,469,(2.4)
2006,Japan,498,(3.6)
2006,Korea,556,(3.8)
2006,Latvia,479,(3.7)
2006,Luxembourg,479,(1.3)
2006,Mexico,410,(3.1)
2006,Netherlands,507,(2.9)
2006,New Zealand,521,(3.0)
2006,Norway,484,(3.2)
2006,Poland,508,(2.8)
2006,Portugal,472,(3.6)
2006,Slovak Republic,466,(3.1)
2006,Slovenia,494,(1.0)
2006,Spain,461,(2.2)
2006,Sweden,507,(3.4)
2006,Switzerland,499,(3.1)
2006,Turkey,447,(4.2)
2006,United Kingdom,495,(2.3)
2006,United States,—,†
2006,Albania,—,†
2006,Albania (2015),—,†
2006,Algeria,—,†
2006,Argentina (2015),—,†
2006,Brazil,393,(3.7)
2006,B-S-J-G (China),—,†
2006,Bulgaria,402,(6.9)
2006,CABA (Argentina),—,†
2006,Colombia,385,(5.1)
2006,Costa Rica,—,†
2006,Croatia,477,(2.8)
2006,Cyprus,—,†
2006,Dominican Republic,—,†
2006,FYROM,—,†
2006,Georgia,—,†
2006,Hong Kong (China),536,(2.4)
2006,Indonesia,393,(5.9)
2006,Jordan,401,(3.3)
2006,Kazakhstan,—,†
2006,Kazakhstan (2015),—,†
2006,Kosovo,—,†
2006,Lebanon,—,†
2006,Lithuania,470,(3.0)
2006,Macao (China),492,(1.1)
2006,Malaysia,—,†
2006,Malaysia (2015),—,†
2006,Malta,—,†
2006,Moldova,—,†
2006,Montenegro,392,(1.2)
2006,Peru,—,†
2006,Qatar,312,(1.2)
2006,Romania,396,(4.7)
2006,Russia,440,(4.3)
2006,Singapore,—,†
2006,Chinese Taipei,496,(3.4)
2006,Thailand,417,(2.6)
2006,Trinidad and Tobago,—,†
2006,Tunisia,380,(4.0)
2006,United Arab Emirates,—,†
2006,Uruguay,413,(3.4)
2006,Viet Nam,—,†
2006,Belgium: Flemish Community,522,(4.1)
2006,Spain: Andalusia,445,(4.1)
2006,Spain: Aragon,483,(5.2)
2006,Spain: Asturias,477,(4.7)
2006,Spain: Balearic Islands,—,†
2006,Spain: Basque Country,487,(4.2)
2006,Spain: Canary Islands,—,†
2006,Spain: Cantabria,475,(4.0)
2006,Spain: Castile and Leon,478,(3.4)
2006,Spain: Castile-La Mancha,—,†
2006,Spain: Catalonia,477,(5.1)
2006,Spain: Comunidad Valenciana,—,†
2006,Spain: Extremadura,—,†
2006,Spain: Galicia,479,(3.4)
2006,Spain: La Rioja,492,(2.6)
2006,Spain: Madrid,—,†
2006,Spain: Murcia,—,†
2006,Spain: Navarre,481,(2.7)
2006,United Arab Emirates: Abu Dhabi,—,†
2006,United Arab Emirates: Dubai,—,†
2006,United Kingdom: Scotland,499,(4.0)
2006,United States: Massachusetts,—,†
2006,United States: North Carolina,—,†
2006,United States: Puerto Rico,—,†
2003,Selected countries and jurisdictions,482,(0.5)
2003,International Average (OECD),494,(0.6)
2003,Australia,525,(2.1)
2003,Austria,491,(3.8)
2003,Belgium,507,(2.6)
2003,Canada,528,(1.7)
2003,Chile,—,†
2003,Czech Republic,489,(3.5)
2003,Denmark,492,(2.8)
2003,Estonia,—,†
2003,Finland,543,(1.6)
2003,France,496,(2.7)
2003,Germany,491,(3.4)
2003,Greece,472,(4.1)
2003,Hungary,482,(2.5)
2003,Iceland,492,(1.6)
2003,Ireland,515,(2.6)
2003,Israel,—,†
2003,Italy,476,(3.0)
2003,Japan,498,(3.9)
2003,Korea,534,(3.1)
2003,Latvia,491,(3.7)
2003,Luxembourg,479,(1.5)
2003,Mexico,400,(4.1)
2003,Netherlands,513,(2.9)
2003,New Zealand,522,(2.5)
2003,Norway,500,(2.8)
2003,Poland,497,(2.9)
2003,Portugal,478,(3.7)
2003,Slovak Republic,469,(3.1)
2003,Slovenia,—,†
2003,Spain,481,(2.6)
2003,Sweden,514,(2.4)
2003,Switzerland,499,(3.3)
2003,Turkey,441,(5.8)
2003,United Kingdom,507,(2.5)
2003,United States,495,(3.2)
2003,Albania,—,†
2003,Albania (2015),—,†
2003,Algeria,—,†
2003,Argentina (2015),—,†
2003,Brazil,403,(4.6)
2003,B-S-J-G (China),—,†
2003,Bulgaria,—,†
2003,CABA (Argentina),—,†
2003,Colombia,—,†
2003,Costa Rica,—,†
2003,Croatia,—,†
2003,Cyprus,—,†
2003,Dominican Republic,—,†
2003,FYROM,—,†
2003,Georgia,—,†
2003,Hong Kong (China),510,(3.7)
2003,Indonesia,382,(3.4)
2003,Jordan,—,†
2003,Kazakhstan,—,†
2003,Kazakhstan (2015),—,†
2003,Kosovo,—,†
2003,Lebanon,—,†
2003,Lithuania,—,†
2003,Macao (China),498,(2.2)
2003,Malaysia,—,†
2003,Malaysia (2015),—,†
2003,Malta,—,†
2003,Moldova,—,†
2003,Montenegro,—,†
2003,Peru,—,†
2003,Qatar,—,†
2003,Romania,—,†
2003,Russia,442,(3.9)
2003,Singapore,—,†
2003,Chinese Taipei,—,†
2003,Thailand,420,(2.8)
2003,Trinidad and Tobago,—,†
2003,Tunisia,375,(2.8)
2003,United Arab Emirates,—,†
2003,Uruguay,434,(3.4)
2003,Viet Nam,—,†
2003,Belgium: Flemish Community,—,†
2003,Spain: Andalusia,—,†
2003,Spain: Aragon,—,†
2003,Spain: Asturias,—,†
2003,Spain: Balearic Islands,—,†
2003,Spain: Basque Country,—,†
2003,Spain: Canary Islands,—,†
2003,Spain: Cantabria,—,†
2003,Spain: Castile and Leon,—,†
2003,Spain: Castile-La Mancha,—,†
2003,Spain: Catalonia,—,†
2003,Spain: Comunidad Valenciana,—,†
2003,Spain: Extremadura,—,†
2003,Spain: Galicia,—,†
2003,Spain: La Rioja,—,†
2003,Spain: Madrid,—,†
2003,Spain: Murcia,—,†
2003,Spain: Navarre,—,†
2003,United Arab Emirates: Abu Dhabi,—,†
2003,United Arab Emirates: Dubai,—,†
2003,United Kingdom: Scotland,—,†
2003,United States: Massachusetts,—,†
2003,United States: North Carolina,—,†
2003,United States: Puerto Rico,—,†
2000,Selected countries and jurisdictions,472,(0.6)
2000,International Average (OECD),493,(0.7)
2000,Australia,528,(3.5)
2000,Austria,492,(2.7)
2000,Belgium,507,(3.6)
2000,Canada,534,(1.6)
2000,Chile,410,(3.6)
2000,Czech Republic,492,(2.4)
2000,Denmark,497,(2.4)
2000,Estonia,—,†
2000,Finland,546,(2.6)
2000,France,505,(2.7)
2000,Germany,484,(2.5)
2000,Greece,474,(5.0)
2000,Hungary,480,(4.0)
2000,Iceland,507,(1.5)
2000,Ireland,527,(3.2)
2000,Israel,452,(8.5)
2000,Italy,487,(2.9)
2000,Japan,522,(5.2)
2000,Korea,525,(2.4)
2000,Latvia,458,(5.3)
2000,Luxembourg,441,(1.6)
2000,Mexico,422,(3.3)
2000,Netherlands,‡,†
2000,New Zealand,529,(2.8)
2000,Norway,505,(2.8)
2000,Poland,479,(4.5)
2000,Portugal,470,(4.5)
2000,Slovak Republic,—,†
2000,Slovenia,—,†
2000,Spain,493,(2.7)
2000,Sweden,516,(2.2)
2000,Switzerland,494,(4.2)
2000,Turkey,—,†
2000,United Kingdom,523,(2.6)
2000,United States,504,(7.0)
2000,Albania,349,(3.3)
2000,Albania (2015),—,†
2000,Algeria,—,†
2000,Argentina (2015),—,†
2000,Brazil,396,(3.1)
2000,B-S-J-G (China),—,†
2000,Bulgaria,430,(4.9)
2000,CABA (Argentina),—,†
2000,Colombia,—,†
2000,Costa Rica,—,†
2000,Croatia,—,†
2000,Cyprus,—,†
2000,Dominican Republic,—,†
2000,FYROM,373,(1.9)
2000,Georgia,—,†
2000,Hong Kong (China),525,(2.9)
2000,Indonesia,371,(4.0)
2000,Jordan,—,†
2000,Kazakhstan,—,†
2000,Kazakhstan (2015),—,†
2000,Kosovo,—,†
2000,Lebanon,—,†
2000,Lithuania,—,†
2000,Macao (China),—,†
2000,Malaysia,—,†
2000,Malaysia (2015),—,†
2000,Malta,—,†
2000,Moldova,—,†
2000,Montenegro,—,†
2000,Peru,327,(4.4)
2000,Qatar,—,†
2000,Romania,428,(3.5)
2000,Russia,462,(4.2)
2000,Singapore,—,†
2000,Chinese Taipei,—,†
2000,Thailand,431,(3.2)
2000,Trinidad and Tobago,—,†
2000,Tunisia,—,†
2000,United Arab Emirates,—,†
2000,Uruguay,—,†
2000,Viet Nam,—,†
2000,Belgium: Flemish Community,—,†
2000,Spain: Andalusia,—,†
2000,Spain: Aragon,—,†
2000,Spain: Asturias,—,†
2000,Spain: Balearic Islands,—,†
2000,Spain: Basque Country,—,†
2000,Spain: Canary Islands,—,†
2000,Spain: Cantabria,—,†
2000,Spain: Castile and Leon,—,†
2000,Spain: Castile-La Mancha,—,†
2000,Spain: Catalonia,—,†
2000,Spain: Comunidad Valenciana,—,†
2000,Spain: Extremadura,—,†
2000,Spain: Galicia,—,†
2000,Spain: La Rioja,—,†
2000,Spain: Madrid,—,†
2000,Spain: Murcia,—,†
2000,Spain: Navarre,—,†
2000,United Arab Emirates: Abu Dhabi,—,†
2000,United Arab Emirates: Dubai,—,†
2000,United Kingdom: Scotland,—,†
2000,United States: Massachusetts,—,†
2000,United States: North Carolina,—,†
2000,United States: Puerto Rico,—,†
